"Fondsposition per,""19.Juli2024"""
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"EAND,""EMIRATES TELECOM"",""Kommunikation"",""Aktien"",""37.920.020,46"",""0,17"",""37.920.020,46"",""8.555.297,00"",""4,43"",""Ver. Arabische Emirate"",""Abu Dhabi Securities Exchange"",""AED"""
"FAB,""FIRST ABU DHABI BANK"",""Financials"",""Aktien"",""37.518.216,93"",""0,17"",""37.518.216,93"",""10.936.858,00"",""3,43"",""Ver. Arabische Emirate"",""Abu Dhabi Securities Exchange"",""AED"""
"EMAAR,""EMAAR PROPERTIES"",""Immobilien"",""Aktien"",""37.359.625,47"",""0,17"",""37.359.625,47"",""16.433.761,00"",""2,27"",""Ver. Arabische Emirate"",""Dubai Financial Market"",""AED"""
"TWD,""TWD CASH"",""Cash und/oder Derivate"",""Geldmarkt"",""37.208.532,98"",""0,17"",""37.208.532,98"",""1.217.407.386,00"",""3,06"",""Taiwan"",""-"",""TWD"""
"SBK,""STANDARD BANK GROUP"",""Financials"",""Aktien"",""36.918.666,21"",""0,17"",""36.918.666,21"",""3.223.666,00"",""11,45"",""Südafrika"",""Johannesburg Stock Exchange"",""ZAR"""
"386,""CHINA PETROLEUM AND CHEMICAL CORP"",""Energie"",""Aktien"",""36.219.995,14"",""0,16"",""36.219.995,14"",""59.812.000,00"",""0,61"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"2886,""MEGA FINANCIAL HOLDING LTD"",""Financials"",""Aktien"",""36.137.490,27"",""0,16"",""36.137.490,27"",""27.984.958,00"",""1,29"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"BMRI,""BANK MANDIRI (PERSERO)"",""Financials"",""Aktien"",""36.069.668,00"",""0,16"",""36.069.668,00"",""89.497.000,00"",""0,40"",""Indonesien"",""Indonesia Stock Exchange"",""IDR"""
"1088,""CHINA SHENHUA ENERGY LTD H"",""Energie"",""Aktien"",""36.011.701,60"",""0,16"",""36.011.701,60"",""8.498.000,00"",""4,24"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"GFI,""GOLD FIELDS LTD"",""Materialien"",""Aktien"",""35.930.198,65"",""0,16"",""35.930.198,65"",""2.176.885,00"",""16,51"",""Südafrika"",""Johannesburg Stock Exchange"",""ZAR"""
"USD,""USD CASH"",""Cash und/oder Derivate"",""Geldmarkt"",""35.389.206,12"",""0,16"",""35.389.206,12"",""35.389.206,00"",""100,00"",""Vereinigte Staaten"",""-"",""USD"""
"006400,""SAMSUNG SDI LTD"",""IT"",""Aktien"",""34.838.204,86"",""0,16"",""34.838.204,86"",""135.143,00"",""257,79"",""Korea"",""Korea Exchange (Stock Market)"",""KRW"""
"1211,""SAUDI ARABIAN MINING"",""Materialien"",""Aktien"",""34.679.040,64"",""0,16"",""34.679.040,64"",""2.893.829,00"",""11,98"",""Saudi-Arabien"",""Saudi Stock Exchange"",""SAR"""
"TITAN,""TITAN COMPANY LTD"",""Zyklische Konsumgüter "",""Aktien"",""34.353.336,66"",""0,16"",""34.353.336,66"",""881.892,00"",""38,95"",""Indien"",""National Stock Exchange Of India"",""INR"""
"2412,""CHUNGHWA TELECOM LTD"",""Kommunikation"",""Aktien"",""34.156.700,34"",""0,16"",""34.156.700,34"",""9.236.000,00"",""3,70"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"TATASTEEL,""TATA STEEL LTD"",""Materialien"",""Aktien"",""34.134.361,94"",""0,16"",""34.134.361,94"",""18.100.818,00"",""1,89"",""Indien"",""National Stock Exchange Of India"",""INR"""
"ASIANPAINT,""ASIAN PAINTS LTD"",""Materialien"",""Aktien"",""33.490.087,21"",""0,15"",""33.490.087,21"",""951.058,00"",""35,21"",""Indien"",""National Stock Exchange Of India"",""INR"""
